                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.58445,                0.45467,                 1.1122,                0.91614,                0.88609,                0.94068,                 0.7835,                0.74192,                0.51707,                 1.1803,              0.0043075,              0.0043075,              0.0043075
                    118,                0.58171,                0.45003,                 1.1064,                0.91569,                0.88651,                 0.9408,                0.78361,                0.74086,                0.51561,                 1.1799,               0.004258,               0.004258,               0.004258
                    119,                0.57771,                 0.4463,                 1.1043,                0.91523,                0.88696,                0.94089,                0.78404,                0.74037,                0.51403,                 1.1797,              0.0042085,              0.0042085,              0.0042085
                    120,                0.57671,                0.44542,                 1.1049,                0.91504,                0.88735,                0.94181,                0.78464,                0.74025,                0.51216,                 1.1797,               0.004159,               0.004159,               0.004159
                    121,                0.57536,                0.43996,                  1.102,                0.91569,                0.88649,                0.94199,                0.78457,                0.73931,                0.50988,                 1.1791,              0.0041095,              0.0041095,              0.0041095
                    122,                0.56718,                0.44055,                 1.0974,                0.91554,                0.88666,                0.94218,                 0.7847,                0.73909,                  0.507,                 1.1792,                0.00406,                0.00406,                0.00406
                    123,                0.56646,                0.43884,                 1.0988,                0.91751,                0.88547,                0.94252,                0.78523,                0.73892,                0.50554,                 1.1792,              0.0040105,              0.0040105,              0.0040105
                    124,                0.56862,                0.44451,                 1.1014,                0.91543,                0.88648,                0.94309,                0.78629,                0.73835,                0.50357,                 1.1791,               0.003961,               0.003961,               0.003961
                    125,                0.55975,                0.43555,                 1.0978,                0.91567,                0.88642,                0.94335,                0.78654,                0.73729,                0.50229,                 1.1784,              0.0039115,              0.0039115,              0.0039115
                    126,                 0.5577,                0.43353,                 1.0921,                0.91661,                0.88608,                0.94358,                0.78683,                0.73634,                0.50194,                 1.1777,               0.003862,               0.003862,               0.003862
                    127,                0.55555,                0.43069,                 1.0935,                 0.9143,                0.89006,                 0.9438,                 0.7871,                0.73605,                0.50144,                 1.1778,              0.0038125,              0.0038125,              0.0038125
                    128,                 0.5596,                0.43167,                 1.0927,                0.91444,                0.88823,                0.94401,                0.78727,                0.73549,                 0.5011,                 1.1777,               0.003763,               0.003763,               0.003763
                    129,                0.54887,                0.42387,                 1.0885,                0.91578,                0.88694,                0.94409,                0.78737,                  0.735,                0.50078,                 1.1778,              0.0037135,              0.0037135,              0.0037135
                    130,                0.55225,                0.42686,                 1.0925,                 0.9137,                0.88888,                0.94427,                 0.7873,                0.73483,                0.50052,                 1.1781,               0.003664,               0.003664,               0.003664
                    131,                0.55137,                0.42229,                 1.0885,                0.91547,                0.88825,                 0.9443,                0.78684,                0.73428,                0.50024,                 1.1778,              0.0036145,              0.0036145,              0.0036145
                    132,                0.54157,                0.41419,                 1.0807,                0.91707,                0.88777,                0.94457,                0.78775,                0.73348,                0.49801,                 1.1775,               0.003565,               0.003565,               0.003565
                    133,                0.53755,                0.41669,                 1.0808,                0.91819,                0.88622,                0.94478,                 0.7885,                0.73272,                0.49562,                  1.177,              0.0035155,              0.0035155,              0.0035155
                    134,                0.53505,                0.41382,                 1.0787,                0.91872,                0.88626,                0.94482,                0.78815,                0.73222,                0.49364,                 1.1768,               0.003466,               0.003466,               0.003466
                    135,                0.53287,                0.41369,                 1.0768,                0.92042,                0.88431,                 0.9451,                0.78894,                0.73148,                0.49113,                 1.1762,              0.0034165,              0.0034165,              0.0034165
                    136,                0.53211,                 0.4074,                 1.0772,                0.92063,                0.88481,                0.94521,                0.78957,                0.73057,                0.48949,                 1.1758,               0.003367,               0.003367,               0.003367
                    137,                0.53007,                0.40085,                 1.0753,                0.92144,                0.88434,                0.94491,                 0.7893,                0.73014,                0.48742,                 1.1759,              0.0033175,              0.0033175,              0.0033175
                    138,                  0.522,                0.40334,                 1.0728,                0.92032,                 0.8848,                0.94498,                0.78962,                0.72984,                0.48523,                  1.176,               0.003268,               0.003268,               0.003268
                    139,                0.52291,                0.40275,                  1.068,                0.92189,                0.88423,                0.94502,                0.78967,                0.72966,                 0.4825,                 1.1762,              0.0032185,              0.0032185,              0.0032185
                    140,                 0.5228,                0.40014,                 1.0693,                0.92184,                0.88467,                0.94491,                0.79008,                0.72918,                 0.4791,                  1.176,               0.003169,               0.003169,               0.003169
                    141,                0.51782,                0.39526,                 1.0657,                0.92007,                0.88542,                0.94499,                 0.7903,                0.72856,                0.47562,                 1.1758,              0.0031195,              0.0031195,              0.0031195
                    142,                0.50941,                0.39211,                 1.0588,                0.91872,                0.88706,                0.94473,                0.79111,                0.72789,                0.47309,                 1.1755,                0.00307,                0.00307,                0.00307
                    143,                0.50828,                0.39305,                 1.0623,                0.91825,                0.88743,                0.94456,                0.79099,                0.72731,                0.47189,                 1.1751,              0.0030205,              0.0030205,              0.0030205
                    144,                0.50843,                0.38783,                 1.0613,                0.92066,                0.88644,                0.94512,                0.79108,                0.72697,                0.47024,                  1.175,               0.002971,               0.002971,               0.002971
                    145,                0.50743,                0.38747,                 1.0611,                0.91984,                0.88706,                0.94531,                0.79142,                0.72635,                0.46866,                 1.1747,              0.0029215,              0.0029215,              0.0029215
                    146,                0.50411,                0.39249,                 1.0543,                0.92026,                0.88748,                0.94546,                0.79181,                0.72591,                 0.4671,                 1.1746,               0.002872,               0.002872,               0.002872
                    147,                0.50541,                0.38557,                 1.0551,                0.92059,                 0.8869,                0.94548,                0.79245,                0.72532,                0.46583,                 1.1742,              0.0028225,              0.0028225,              0.0028225
                    148,                 0.4963,                0.38016,                 1.0517,                0.92064,                0.88753,                0.94533,                0.79311,                 0.7249,                0.46444,                 1.1742,               0.002773,               0.002773,               0.002773
                    149,                0.49474,                0.37626,                 1.0554,                0.92056,                0.88865,                0.94529,                0.79257,                0.72424,                0.46366,                  1.174,              0.0027235,              0.0027235,              0.0027235
                    150,                0.49277,                  0.375,                 1.0509,                0.91939,                 0.8886,                0.94493,                 0.7925,                0.72396,                 0.4636,                  1.174,               0.002674,               0.002674,               0.002674
